field,period,domain,area_mean,units,aggregation
omega700,JJAS,greater_horn,-0.007488320105178979,Pa s**-1,seasonal_climatology
omega700,JJAS,east_africa,-0.009072687193515883,Pa s**-1,seasonal_climatology
omega700,JJAS,atlantic_congo_ethiopia,-0.00250842166150505,Pa s**-1,seasonal_climatology
omega700,JJAS,indian_ocean,-0.004029099508026737,Pa s**-1,seasonal_climatology
z200,month_06,ethiopia,12442.076433051265,m,monthly_climatology
z200,month_06,greater_horn,12443.560515546858,m,monthly_climatology
z200,month_06,east_africa,12438.003260060892,m,monthly_climatology
z200,month_06,atlantic_congo_ethiopia,12428.354345017773,m,monthly_climatology
z200,month_06,indian_ocean,12425.21717013273,m,monthly_climatology
z200,month_07,ethiopia,12423.639607590088,m,monthly_climatology
z200,month_07,greater_horn,12431.985649568076,m,monthly_climatology
z200,month_07,east_africa,12419.869991948595,m,monthly_climatology
z200,month_07,atlantic_congo_ethiopia,12411.376201061077,m,monthly_climatology
z200,month_07,indian_ocean,12420.295041584115,m,monthly_climatology
z200,month_08,ethiopia,12425.462519276765,m,monthly_climatology
z200,month_08,greater_horn,12431.88397999646,m,monthly_climatology
z200,month_08,east_africa,12421.160869401689,m,monthly_climatology
z200,month_08,atlantic_congo_ethiopia,12413.411105746407,m,monthly_climatology
z200,month_08,indian_ocean,12418.298171983006,m,monthly_climatology
z200,month_09,ethiopia,12422.64815393405,m,monthly_climatology
z200,month_09,greater_horn,12423.813204887485,m,monthly_climatology
z200,month_09,east_africa,12418.443636642867,m,monthly_climatology
z200,month_09,atlantic_congo_ethiopia,12408.983510786553,m,monthly_climatology
z200,month_09,indian_ocean,12410.130694305584,m,monthly_climatology
z200,JJA,ethiopia,12430.392802027922,m,seasonal_climatology
z200,JJA,greater_horn,12435.810039754997,m,seasonal_climatology
z200,JJA,east_africa,12426.34469404897,m,seasonal_climatology
z200,JJA,atlantic_congo_ethiopia,12417.713869658619,m,seasonal_climatology
z200,JJA,indian_ocean,12421.270135771165,m,seasonal_climatology
z200,JJAS,ethiopia,12428.456717553387,m,seasonal_climatology
z200,JJAS,greater_horn,12432.810849076983,m,seasonal_climatology
z200,JJAS,east_africa,12424.369453234836,m,seasonal_climatology
z200,JJAS,atlantic_congo_ethiopia,12415.531316089764,m,seasonal_climatology
z200,JJAS,indian_ocean,12418.485283067002,m,seasonal_climatology
z500,month_06,ethiopia,5874.503758989358,m,monthly_climatology
z500,month_06,greater_horn,5875.584097097581,m,monthly_climatology
z500,month_06,east_africa,5873.4829474341705,m,monthly_climatology
z500,month_06,atlantic_congo_ethiopia,5876.440974615559,m,monthly_climatology
z500,month_06,indian_ocean,5852.671959780413,m,monthly_climatology
z500,month_07,ethiopia,5868.635037247624,m,monthly_climatology
z500,month_07,greater_horn,5869.828050180087,m,monthly_climatology
z500,month_07,east_africa,5867.6805430881905,m,monthly_climatology
z500,month_07,atlantic_congo_ethiopia,5870.486498496494,m,monthly_climatology
z500,month_07,indian_ocean,5848.953977504881,m,monthly_climatology
z500,month_08,ethiopia,5868.855900514815,m,monthly_climatology
z500,month_08,greater_horn,5871.786496867663,m,monthly_climatology
z500,month_08,east_africa,5868.813928799207,m,monthly_climatology
z500,month_08,atlantic_congo_ethiopia,5870.792795985722,m,monthly_climatology
z500,month_08,indian_ocean,5851.6975921381345,m,monthly_climatology
z500,month_09,ethiopia,5868.468994944927,m,monthly_climatology
z500,month_09,greater_horn,5871.086150001962,m,monthly_climatology
z500,month_09,east_africa,5868.484729450224,m,monthly_climatology
z500,month_09,atlantic_congo_ethiopia,5870.044417642943,m,monthly_climatology
z500,month_09,indian_ocean,5855.311468423689,m,monthly_climatology
z500,JJA,ethiopia,5870.664920002976,m,seasonal_climatology
z500,JJA,greater_horn,5872.399552383643,m,seasonal_climatology
z500,JJA,east_africa,5869.992477910312,m,seasonal_climatology
z500,JJA,atlantic_congo_ethiopia,5872.573427585518,m,seasonal_climatology
z500,JJA,indian_ocean,5851.107841468835,m,seasonal_climatology
z500,JJAS,ethiopia,5870.115965339222,m,seasonal_climatology
z500,JJAS,greater_horn,5872.071225043201,m,seasonal_climatology
z500,JJAS,east_africa,5869.61556377125,m,seasonal_climatology
z500,JJAS,atlantic_congo_ethiopia,5871.941179467057,m,seasonal_climatology
z500,JJAS,indian_ocean,5852.158757089979,m,seasonal_climatology
divergence200,month_06,ethiopia,-1.229693986470377e-06,s**-1,monthly_climatology
divergence200,month_06,greater_horn,-5.822870727898359e-07,s**-1,monthly_climatology
divergence200,month_06,east_africa,-5.793023096478391e-07,s**-1,monthly_climatology
divergence200,month_06,atlantic_congo_ethiopia,-4.4760037221009184e-07,s**-1,monthly_climatology
divergence200,month_06,indian_ocean,1.414138270761513e-07,s**-1,monthly_climatology
divergence200,month_07,ethiopia,-3.581771402497405e-07,s**-1,monthly_climatology
divergence200,month_07,greater_horn,-5.462492932944533e-07,s**-1,monthly_climatology
divergence200,month_07,east_africa,-5.436130065601618e-07,s**-1,monthly_climatology
divergence200,month_07,atlantic_congo_ethiopia,-4.046187898574242e-07,s**-1,monthly_climatology
divergence200,month_07,indian_ocean,1.8539945524535968e-07,s**-1,monthly_climatology
divergence200,month_08,ethiopia,-4.1827435630500473e-07,s**-1,monthly_climatology
divergence200,month_08,greater_horn,-5.351188758982833e-07,s**-1,monthly_climatology
divergence200,month_08,east_africa,-5.187626576968378e-07,s**-1,monthly_climatology
divergence200,month_08,atlantic_congo_ethiopia,-2.7214145322579715e-07,s**-1,monthly_climatology
divergence200,month_08,indian_ocean,3.6763200448266684e-08,s**-1,monthly_climatology
divergence200,month_09,ethiopia,-1.264375788241099e-06,s**-1,monthly_climatology
divergence200,month_09,greater_horn,-6.08704468705871e-07,s**-1,monthly_climatology
divergence200,month_09,east_africa,-5.868766274635483e-07,s**-1,monthly_climatology
divergence200,month_09,atlantic_congo_ethiopia,-3.317697043121246e-07,s**-1,monthly_climatology
divergence200,month_09,indian_ocean,-1.3465648576631468e-07,s**-1,monthly_climatology
divergence200,JJA,ethiopia,-6.68714864554884e-07,s**-1,seasonal_climatology
divergence200,JJA,greater_horn,-5.545516409753287e-07,s**-1,seasonal_climatology
divergence200,JJA,east_africa,-5.472258709115904e-07,s**-1,seasonal_climatology
divergence200,JJA,atlantic_congo_ethiopia,-3.747867408756278e-07,s**-1,seasonal_climatology
divergence200,JJA,indian_ocean,1.2119238994347808e-07,s**-1,seasonal_climatology
divergence200,JJAS,ethiopia,-8.176301199516803e-07,s**-1,seasonal_climatology
divergence200,JJAS,greater_horn,-5.680899177697516e-07,s**-1,seasonal_climatology
divergence200,JJAS,east_africa,-5.571386386839789e-07,s**-1,seasonal_climatology
divergence200,JJAS,atlantic_congo_ethiopia,-3.640325413520029e-07,s**-1,seasonal_climatology
divergence200,JJAS,indian_ocean,5.72301240834361e-08,s**-1,seasonal_climatology
sst,month_06,ethiopia,303.35287546307836,K,monthly_climatology
sst,month_06,greater_horn,300.57376738634986,K,monthly_climatology
sst,month_06,east_africa,300.50253353125714,K,monthly_climatology
sst,month_06,atlantic_congo_ethiopia,298.70958643590575,K,monthly_climatology
sst,month_06,indian_ocean,300.27510154455456,K,monthly_climatology
sst,month_07,ethiopia,302.5218976478467,K,monthly_climatology
sst,month_07,greater_horn,299.5459852548859,K,monthly_climatology
sst,month_07,east_africa,299.3702058917557,K,monthly_climatology
sst,month_07,atlantic_congo_ethiopia,297.6043193007148,K,monthly_climatology
sst,month_07,indian_ocean,299.51458246087867,K,monthly_climatology
sst,month_08,ethiopia,302.43719810959897,K,monthly_climatology
sst,month_08,greater_horn,299.37406245621037,K,monthly_climatology
sst,month_08,east_africa,299.15815729166434,K,monthly_climatology
sst,month_08,atlantic_congo_ethiopia,297.0838256838507,K,monthly_climatology
sst,month_08,indian_ocean,299.1577805757637,K,monthly_climatology
sst,month_09,ethiopia,303.3875103737068,K,monthly_climatology
sst,month_09,greater_horn,299.8051158934245,K,monthly_climatology
sst,month_09,east_africa,299.6283308649504,K,monthly_climatology
sst,month_09,atlantic_congo_ethiopia,297.2470817007937,K,monthly_climatology
sst,month_09,indian_ocean,299.2679626316946,K,monthly_climatology
sst,JJA,ethiopia,302.77063972313795,K,seasonal_climatology
sst,JJA,greater_horn,299.83125065134107,K,seasonal_climatology
sst,JJA,east_africa,299.6769446656222,K,seasonal_climatology
sst,JJA,atlantic_congo_ethiopia,297.7992195323802,K,seasonal_climatology
sst,JJA,indian_ocean,299.64913210188564,K,seasonal_climatology
sst,JJAS,ethiopia,302.92486332755453,K,seasonal_climatology
sst,JJAS,greater_horn,299.82472397507075,K,seasonal_climatology
sst,JJAS,east_africa,299.6647982329874,K,seasonal_climatology
sst,JJAS,atlantic_congo_ethiopia,297.66119445186496,K,seasonal_climatology
sst,JJAS,indian_ocean,299.5538483246349,K,seasonal_climatology
