period,domain,diagnostic,value,units,classification,description
Jun_2026,east_africa,vp200,8268621.786239676,m**2 s**-1,not_classified,200 hPa velocity potential
Jun_2026,east_africa,strf200,-20084537.095375378,m**2 s**-1,not_classified,200 hPa stream function
Jun_2026,east_africa,z200,12433.837603370008,gpm,not_classified,200 hPa geopotential height
Jun_2026,east_africa,z500,5877.083832894116,gpm,not_classified,500 hPa geopotential height
Jun_2026,east_africa,sst_proxy,300.58471732021235,K,not_classified,Sea surface temperature or near-surface ocean temperature proxy
Jun_2026,atlantic_congo_ethiopia,u200,1.5806487688224655,m s**-1,westerly_flow,200 hPa zonal wind
Jun_2026,atlantic_congo_ethiopia,v200,-0.4105709226078783,m s**-1,not_classified,200 hPa meridional wind
Jun_2026,atlantic_congo_ethiopia,tej_strength,-1.5806487688224655,m s**-1,no_easterly_tej,TEJ strength proxy: -u200. Larger positive values indicate stronger easterly flow.
Jun_2026,atlantic_congo_ethiopia,div200,-4.90937233234438e-07,s-1,convergence,200 hPa horizontal divergence computed from CFSv2 u200 and v200.
Jun_2026,atlantic_congo_ethiopia,u850,-0.9253706354885824,m s**-1,not_classified,850 hPa zonal wind
Jun_2026,atlantic_congo_ethiopia,v850,1.9090053423588065,m s**-1,not_classified,850 hPa meridional wind
Jun_2026,atlantic_congo_ethiopia,q850,0.008381787470878274,kg kg**-1,not_classified,850 hPa specific humidity
Jun_2026,atlantic_congo_ethiopia,wind_speed850,3.8885353127493243,m s**-1,not_classified,850 hPa wind speed.
Jun_2026,atlantic_congo_ethiopia,qu850,-0.003778413710686244,kg kg-1 m s-1,not_classified,850 hPa zonal moisture flux proxy: q850 * u850.
Jun_2026,atlantic_congo_ethiopia,qv850,0.018328136554368962,kg kg-1 m s-1,not_classified,850 hPa meridional moisture flux proxy: q850 * v850.
Jun_2026,atlantic_congo_ethiopia,mfc850,-2.2882115640442145e-09,kg kg-1 s-1 approximately,moisture_divergence,"850 hPa moisture-flux convergence proxy: -div(q850*u850, q850*v850)."
Jun_2026,atlantic_congo_ethiopia,omega500,0.009280526652824684,Pa s**-1,subsidence_tendency,500 hPa vertical velocity / omega
Jun_2026,atlantic_congo_ethiopia,omega700,0.0008008139811007891,Pa s**-1,subsidence_tendency,700 hPa vertical velocity / omega
Jun_2026,atlantic_congo_ethiopia,vp200,10104989.894445656,m**2 s**-1,not_classified,200 hPa velocity potential
Jun_2026,atlantic_congo_ethiopia,strf200,-21030003.268771045,m**2 s**-1,not_classified,200 hPa stream function
Jun_2026,atlantic_congo_ethiopia,z200,12420.97428725872,gpm,not_classified,200 hPa geopotential height
Jun_2026,atlantic_congo_ethiopia,z500,5879.694183111225,gpm,not_classified,500 hPa geopotential height
Jun_2026,atlantic_congo_ethiopia,sst_proxy,298.9952729649526,K,not_classified,Sea surface temperature or near-surface ocean temperature proxy
Jun_2026,congo_moisture_corridor,u200,-8.221534185369949,m s**-1,easterly_flow,200 hPa zonal wind
Jun_2026,congo_moisture_corridor,v200,-0.6006417746147105,m s**-1,not_classified,200 hPa meridional wind
Jun_2026,congo_moisture_corridor,tej_strength,8.221534185369949,m s**-1,weak_tej,TEJ strength proxy: -u200. Larger positive values indicate stronger easterly flow.
Jun_2026,congo_moisture_corridor,div200,4.940000158632378e-07,s-1,divergence,200 hPa horizontal divergence computed from CFSv2 u200 and v200.
Jun_2026,congo_moisture_corridor,u850,-0.12774077963604108,m s**-1,not_classified,850 hPa zonal wind
Jun_2026,congo_moisture_corridor,v850,2.193621990375242,m s**-1,not_classified,850 hPa meridional wind
Jun_2026,congo_moisture_corridor,q850,0.011349484218304532,kg kg**-1,not_classified,850 hPa specific humidity
Jun_2026,congo_moisture_corridor,wind_speed850,2.823196466618288,m s**-1,not_classified,850 hPa wind speed.
Jun_2026,congo_moisture_corridor,qu850,0.0006301440245759844,kg kg-1 m s-1,not_classified,850 hPa zonal moisture flux proxy: q850 * u850.
